Production Year #,Production Month #,Symbol,ML Sec #,CUSIP,Trader
2011,1,MLPCC,08ZA0,06052R625,Hippo Agkpo
2011,1,NA,,313372GR9,
2011,1,MLPCJ,08ZA2,06052R658,Hippo Agkpo
2011,2,MLPCL,08ZA7,06052R781,Hippo Agkpo
2011,3,MLRATE54,HIFR1,06048WFN5,
2011,5,MLRATE56,HIH49,06048WGD6,
2011,6,MLRATE57,HIJP2,06048WGJ3,
2011,6,AGENCY11,HAXD5,3133746F2,
2011,7,MLRATE59,HIKJ5,06048WGT1,
2011,11,MLPFQ,08ZF7,06051P166 ,Simon Torjmane
2011,12,MLPFR,08X05,06051P216,Simon Torjmane
2012,1,MLRAB,HIPC1,06048WJZ4,Pat Anderson 
2012,1,MLPHD,08ZG1,06051P414,Simon Torjmane
2012,6,MLPGL,08ZI2,06051R436,Hippolyte Agkpo
2012,7,MLPGG,08ZI7,06051R675,Hippolyte Agkpo
2012,8,MLPGW,08ZJ0,06053D211,Hippolyte Agkpo
2012,9,MLPJG,08ZJ4,06053D419,Hippolyte Agkpo
2012,11,MLRAO,HHXL9,06048WNH9,Patrick Anderson 
2012,12,MLRAP,HH2J0,06048WNK2,
2012,12,MLRAQ,HH392,40432X5F4,Patrick Anderson 
2013,6,MLRAU,HH6Y1,06048WNX4,Pat Anderson 
2014,7,MLZHJ,67IP8,40434C188,Vicente Gil Mateo-Sasieta / Ben Barr
2014,7,MLZHK,30QS2,40434A703,Shantanu Khare / Hippolyte Agkpo
2014,8,MLZID,67IS3,40434A802,Vicente Gil Mateo-Sasieta / Ben Barr
2014,8,MLZIA,21BJ7 ,06053M427,Andy Kirou / Nate Boroff
2014,9,MLZIN,250W0,06053M518,Andy Kirou / Ross Mtangi
2014,9,MLZIQ,67IU6,38147J102,Vicente Gil Mateo-Sasieta / Ben Barr
2014,10,MLZJB,67IW0,38147J201,Shao Tyng Foo / Mickael Slomka
2014,10,MLZJC,28A47,06053M534,Andy Kirou / Ross Mtangi
2014,11,MLZJG,08ZN1,06053M674,Andy Kirou / Ross Mtangi
2014,12,MLCDY,00BT8,38148J101,Youssef Boujemaoui / Thomas Eshaghi
